"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"base","base","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.2","base",NA,NA,NA,"methods",NA,"Part of R 4.3.2",NA,NA,NA,NA,NA,"4.3.2"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"bayesplot","bayesplot","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.10.0",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
posterior, reshape2, rlang (>= 0.3.0), stats, tibble (>=
2.0.0), tidyselect, utils",NA,"ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr (>=
1.0.2)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"bayestestR","bayestestR","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.13.1",NA,"R (>= 3.6)","insight (>= 0.19.1), datawizard (>= 0.7.0), graphics, methods,
stats, utils",NA,"BayesFactor (>= 0.9.12-4.4), bayesQR, bayesplot, BH, blavaan,
bridgesampling, brms, curl, effectsize, emmeans, gamm4, ggdist,
ggplot2, glmmTMB, httr, KernSmooth, knitr, lavaan, lme4,
logspline, MASS, mclust, mediation, modelbased, parameters,
patchwork, performance, quadprog, posterior, RcppEigen,
rmarkdown, rstan, rstanarm, see (>= 0.7.5), testthat, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"beanplot","beanplot","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.1",NA,NA,NA,NA,"vioplot, lattice",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"beeswarm","beeswarm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.0"
"BH","BH","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.81.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.3.0"
"bigD","bigD","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.0",NA,"R (>= 3.2.0)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"bit","bit","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"bit64","bit64","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"bitops","bitops","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"blastula","blastula","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.4",NA,"R (>= 3.6)","base64enc (>= 0.1-3), commonmark (>= 1.7), curl (>= 4.3),
digest, dplyr (>= 0.8.3), fs (>= 1.3.1), getPass (>= 0.2-2),
here (>= 0.1), htmltools (>= 0.4.0), httr (>= 1.4.0), jsonlite
(>= 1.6), magrittr (>= 1.5), mime (>= 0.6), rlang (>= 1.0),
rmarkdown, stringr (>= 1.4.0), uuid (>= 0.1-2)",NA,"covr, ggplot2, glue, testthat (>= 3.0.0), keyring, knitr,
spelling, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"blob","blob","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"bmp","bmp","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3",NA,NA,NA,NA,"pixmap, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"boot","boot","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3-28.1","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.3.2"
"brew","brew","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0-8",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"bridgesampling","bridgesampling","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1-2",NA,"R (>= 3.0.0)","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble,
MCMCpack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"brio","brio","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.3",NA,NA,NA,NA,"covr, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"brms","brms","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.19.0",NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.3.1),
posterior (>= 1.0.0), Matrix (>= 1.1.1), mgcv (>= 1.8-13),
rstantools (>= 2.1.1), bayesplot (>= 1.5.0), shinystan (>=
2.4.0), bridgesampling (>= 0.3-0), glue (>= 1.3.0), rlang (>=
1.0.0), future (>= 1.19.0), matrixStats, nleqslv, nlme, coda,
abind, stats, utils, parallel, grDevices, backports",NA,"testthat (>= 0.9.1), emmeans (>= 1.4.2), cmdstanr (>= 0.5.0),
projpred (>= 2.0.0), RWiener, rtdists, extraDistr, processx,
mice, spdep, mnormt, lme4, MCMCglmm, splines2, ape, arm,
statmod, digest, diffobj, R.rsp, gtable, shiny, knitr,
rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"Brobdingnag","Brobdingnag","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2-9",NA,"R (>= 2.13.0), methods, Matrix (>= 1.5-0)",NA,NA,"cubature, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"broom","broom","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.4",NA,"R (>= 3.5)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, maptools, margins, MASS, mclust, mediation,
metafor, mfx, mgcv, mlogit, modeldata, modeltests, muhaz,
multcomp, network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA,
psych, quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"broom.helpers","broom.helpers","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.14.0",NA,"R (>= 3.4)","broom (>= 0.8), cli, dplyr, labelled, lifecycle, purrr, rlang
(>= 1.0.1), stats, stringr, tibble, tidyr",NA,"betareg, biglm, biglmm, brms (>= 2.13.0), broom.mixed,
cmprsk, covr, datasets, effects, emmeans, fixest (>= 0.10.0),
forcats, gam, gee, geepack, ggplot2, ggeffects, ggstats (>=
0.2.1), glmmTMB, glue, gt, gtsummary (>= 1.6.3), knitr, lavaan,
lfe, lme4 (>= 1.1.28), logitr (>= 0.8.0), marginaleffects (>=
0.10.0), margins, MASS, mgcv, mice, multgee, nnet, ordinal,
parameters, parsnip, patchwork, plm, pscl, rmarkdown, rstanarm,
scales, spelling, survey, survival, testthat, tidycmprsk, VGAM",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"bslib","bslib","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.2",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.4), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, cachem, memoise (>= 2.0.1),
base64enc, mime",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr, fontawesome, bsicons",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"cachem","cachem","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.8",NA,NA,"rlang, fastmap (>= 1.1.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"callr","callr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.7.3",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast, cli (>= 1.1.0), covr, mockery, ps, rprojroot,
spelling, testthat (>= 3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"car","car","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.1-2",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"carData","carData","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"caret","caret","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","6.0-94",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"caTools","caTools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"cellranger","cellranger","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"checkmate","checkmate","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.2.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"class","class","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","7.3-22","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"classInt","classInt","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4-9",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"cli","cli","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.6.1",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"clinicaltrialr","clinicaltrialr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6.7",NA,NA,"xml2, magrittr, tibble, readr, dplyr, stringr",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"clipr","clipr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"clisymbols","clisymbols","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"clock","clock","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.7.0",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), rlang (>= 1.1.0), tzdb
(>= 0.4.0), vctrs (>= 0.6.1)","cpp11 (>= 0.4.3), tzdb (>= 0.4.0)","covr, knitr, magrittr, pillar, rmarkdown, slider (>= 0.3.0),
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.4","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"cmprsk","cmprsk","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.2-11",NA,"R (>= 3.0.0), survival",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"coda","coda","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2-19","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.2"
"coin","coin","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4-3",NA,"R (>= 3.6.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-9),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-9)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"collections","collections","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.7",NA,NA,NA,NA,"testthat (>= 2.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1-0",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"colourpicker","colourpicker","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5),
shinydisconnect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"commonmark","commonmark","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.9.0",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.2","base",NA,NA,NA,NA,NA,"Part of R 4.3.2",NA,NA,NA,NA,NA,"4.3.2"
"confintr","confintr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.2",NA,"R (>= 3.1.0)","boot, stats",NA,"knitr, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"conflicted","conflicted","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"coro","coro","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.3",NA,"R (>= 3.5.0)","rlang (>= 0.4.12)",NA,"knitr, later (>= 1.1.0), magrittr (>= 2.0.0), promises,
reticulate, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"corrplot","corrplot","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"COVID19","COVID19","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0.3",NA,NA,"tools, utils, R.utils, data.table",NA,"RSQLite, wbstats (>= 1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"cowplot","cowplot","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"coxed","coxed","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.3",NA,"R (>= 3.5.0), rms, survival, mgcv","PermAlgo, dplyr, tidyr, ggplot2, gridExtra, mediation, utils",NA,"knitr, rmarkdown, bindrcpp",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"cpp11","cpp11","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.6",NA,"R (>= 3.5.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"credentials","credentials","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.2",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"crosstalk","crosstalk","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"crul","crul","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.0",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"cthist","cthist","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.1",NA,NA,"assertthat, dplyr, httr, jsonlite, magrittr, readr, rlang,
rvest, stringr, tibble",NA,"testthat (>= 3.0.0)",NA,"AGPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"curl","curl","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","5.1.0",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"cyclocomp","cyclocomp","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.0",NA,NA,"callr, crayon, desc, remotes, withr",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.14.8",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.2","base",NA,NA,NA,NA,NA,"Part of R 4.3.2",NA,NA,NA,NA,NA,"4.3.2"
"datawizard","datawizard","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.8.0",NA,"R (>= 3.6)","insight (>= 0.19.1), stats, utils",NA,"bayestestR, boot, brms, data.table, dplyr (>= 1.0),
effectsize, gamm4, ggplot2, gt, haven, htmltools, httr, knitr,
lme4, mediation, parameters (>= 0.20.3), poorman (>= 0.2.6),
psych, readxl, readr, rio, rmarkdown, rstanarm, see, testthat
(>= 3.1.6), tibble, tidyr, withr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.3",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.0"
